mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_reg_lambda,param_reg_alpha,param_num_leaves,param_min_child_samples,param_max_depth,param_learning_rate,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
17.9821678797404,1.0273046956734126,0.15854350725809732,0.032011618625996933,0.8,0.5,0.0,63,20,7,0.02,0.8,"{'subsample': 0.8, 'reg_lambda': 0.5, 'reg_alpha': 0.0, 'num_leaves': 63, 'min_child_samples': 20, 'max_depth': 7, 'learning_rate': 0.02, 'colsample_bytree': 0.8}",-45.04584591269231,-43.14943380080825,-52.25866040354857,-46.81798003901637,3.924270364987591,8
29.030282735824585,2.864002891602695,1.2072405815124512,1.453951291489145,1.0,0.1,0.5,255,20,7,0.01,0.6,"{'subsample': 1.0, 'reg_lambda': 0.1, 'reg_alpha': 0.5, 'num_leaves': 255, 'min_child_samples': 20, 'max_depth': 7, 'learning_rate': 0.01, 'colsample_bytree': 0.6}",-46.19382837369383,-43.77337984117672,-53.01339058754456,-47.660199600805036,3.912129265078292,13
135.12172675132751,1.108468752105818,0.47279008229573566,0.111465592205006,1.0,0.5,0.1,255,20,-1,0.01,0.8,"{'subsample': 1.0, 'reg_lambda': 0.5, 'reg_alpha': 0.1, 'num_leaves': 255, 'min_child_samples': 20, 'max_depth': -1, 'learning_rate': 0.01, 'colsample_bytree': 0.8}",-44.48730660347567,-42.30486905396828,-51.813576419262034,-46.201917358901994,4.066841237100004,2
10.701318343480429,0.7196762737458986,0.2296597162882487,0.1735649886376721,1.0,0.5,0.5,31,20,5,0.03,1.0,"{'subsample': 1.0, 'reg_lambda': 0.5, 'reg_alpha': 0.5, 'num_leaves': 31, 'min_child_samples': 20, 'max_depth': 5, 'learning_rate': 0.03, 'colsample_bytree': 1.0}",-45.75156239661374,-44.14850936728798,-53.34765740382674,-47.74924305590949,4.012408018628542,17
22.173649708429974,1.6117460133612405,0.17476495107014975,0.018291030242693403,0.8,0.5,0.0,31,10,-1,0.01,0.8,"{'subsample': 0.8, 'reg_lambda': 0.5, 'reg_alpha': 0.0, 'num_leaves': 31, 'min_child_samples': 10, 'max_depth': -1, 'learning_rate': 0.01, 'colsample_bytree': 0.8}",-46.39038705638468,-43.95188690780203,-52.821936138610575,-47.721403367599095,3.741492274015894,14
95.78472367922465,1.1536686262113518,0.4716380437215169,0.1818026051042121,0.6,0.1,0.0,255,50,-1,0.02,1.0,"{'subsample': 0.6, 'reg_lambda': 0.1, 'reg_alpha': 0.0, 'num_leaves': 255, 'min_child_samples': 50, 'max_depth': -1, 'learning_rate': 0.02, 'colsample_bytree': 1.0}",-44.66643152668313,-42.99798830015984,-52.160369638229255,-46.608263155024076,3.9845819940256066,7
23.199710210164387,1.200684002499296,0.1609941323598226,0.027085894089815335,0.8,0.5,0.5,63,50,7,0.01,1.0,"{'subsample': 0.8, 'reg_lambda': 0.5, 'reg_alpha': 0.5, 'num_leaves': 63, 'min_child_samples': 50, 'max_depth': 7, 'learning_rate': 0.01, 'colsample_bytree': 1.0}",-46.858296445481024,-44.58259068068312,-54.28045071687371,-48.57377928101261,4.140795683572444,27
10.040622234344482,0.5348998531200811,0.1282076040903727,0.026323719359926338,0.8,0.0,0.1,31,50,5,0.01,0.8,"{'subsample': 0.8, 'reg_lambda': 0.0, 'reg_alpha': 0.1, 'num_leaves': 31, 'min_child_samples': 50, 'max_depth': 5, 'learning_rate': 0.01, 'colsample_bytree': 0.8}",-48.63473297937745,-45.499780898793944,-55.21236140719222,-49.78229176178787,4.047322028398941,30
14.268896500269571,0.8088837230692284,0.10652438799540202,0.005022533243194451,0.8,0.0,0.0,31,20,9,0.01,0.8,"{'subsample': 0.8, 'reg_lambda': 0.0, 'reg_alpha': 0.0, 'num_leaves': 31, 'min_child_samples': 20, 'max_depth': 9, 'learning_rate': 0.01, 'colsample_bytree': 0.8}",-46.313723524001134,-44.10106903741563,-53.26641205267288,-47.893734871363215,3.9049716209106147,21
12.609644730885824,1.7763124121358118,0.11027185122172038,0.029454245548748485,0.8,0.5,0.0,63,20,5,0.01,0.6,"{'subsample': 0.8, 'reg_lambda': 0.5, 'reg_alpha': 0.0, 'num_leaves': 63, 'min_child_samples': 20, 'max_depth': 5, 'learning_rate': 0.01, 'colsample_bytree': 0.6}",-48.50893772200575,-45.212327376619335,-54.61804166779334,-49.44643558880614,3.8966688354277004,29
9.679940064748129,0.8158338534248031,0.20405054092407227,0.09643902743127661,1.0,0.5,0.5,31,50,5,0.03,1.0,"{'subsample': 1.0, 'reg_lambda': 0.5, 'reg_alpha': 0.5, 'num_leaves': 31, 'min_child_samples': 50, 'max_depth': 5, 'learning_rate': 0.03, 'colsample_bytree': 1.0}",-45.80991660443343,-44.3037302976002,-53.76016381826546,-47.957936906766356,4.148616407680699,22
11.640924056371054,0.4412893570292313,0.08995278676350911,0.017268117851121513,0.8,0.5,0.5,255,20,5,0.05,0.6,"{'subsample': 0.8, 'reg_lambda': 0.5, 'reg_alpha': 0.5, 'num_leaves': 255, 'min_child_samples': 20, 'max_depth': 5, 'learning_rate': 0.05, 'colsample_bytree': 0.6}",-44.960659861859504,-43.350168400996736,-52.494806811315925,-46.93521169139072,3.9858285721206554,12
12.784018198649088,0.6554283430991013,0.09444236755371094,0.014198584065263895,0.8,0.5,0.1,127,10,5,0.01,0.8,"{'subsample': 0.8, 'reg_lambda': 0.5, 'reg_alpha': 0.1, 'num_leaves': 127, 'min_child_samples': 10, 'max_depth': 5, 'learning_rate': 0.01, 'colsample_bytree': 0.8}",-48.37735997790525,-45.14117701088178,-54.63722809962738,-49.385255029471466,3.941711632970746,28
64.38126277923584,6.9286296559962395,0.2983380953470866,0.034796306729287026,1.0,0.1,0.0,127,20,-1,0.05,1.0,"{'subsample': 1.0, 'reg_lambda': 0.1, 'reg_alpha': 0.0, 'num_leaves': 127, 'min_child_samples': 20, 'max_depth': -1, 'learning_rate': 0.05, 'colsample_bytree': 1.0}",-44.80272285585046,-42.675327468586474,-52.25331492350021,-46.57712174931239,4.106566245779265,6
25.409065008163452,0.713256122382136,0.16417527198791504,0.01333624474024412,1.0,0.5,0.5,127,50,9,0.01,1.0,"{'subsample': 1.0, 'reg_lambda': 0.5, 'reg_alpha': 0.5, 'num_leaves': 127, 'min_child_samples': 50, 'max_depth': 9, 'learning_rate': 0.01, 'colsample_bytree': 1.0}",-46.28545263970075,-44.27129139213029,-53.70003955032564,-48.08559452738556,4.054273964556099,23
14.800878365834555,0.727331951449421,0.11652596791585286,0.006210223780178756,1.0,0.1,0.5,31,10,9,0.01,1.0,"{'subsample': 1.0, 'reg_lambda': 0.1, 'reg_alpha': 0.5, 'num_leaves': 31, 'min_child_samples': 10, 'max_depth': 9, 'learning_rate': 0.01, 'colsample_bytree': 1.0}",-46.56694443512275,-44.41036912702618,-53.45728596446631,-48.14486650887175,3.858242658604016,24
29.098959922790527,0.8908726130954158,0.15748325983683267,0.01003210145764344,1.0,0.1,0.1,255,10,7,0.01,1.0,"{'subsample': 1.0, 'reg_lambda': 0.1, 'reg_alpha': 0.1, 'num_leaves': 255, 'min_child_samples': 10, 'max_depth': 7, 'learning_rate': 0.01, 'colsample_bytree': 1.0}",-46.41751447081326,-43.77762484585961,-53.41568419393248,-47.87027450353512,4.066606347947404,20
8.487381935119629,0.6788136254229904,0.08445143699645996,0.004332085868145522,0.6,0.5,0.0,31,50,5,0.03,0.8,"{'subsample': 0.6, 'reg_lambda': 0.5, 'reg_alpha': 0.0, 'num_leaves': 31, 'min_child_samples': 50, 'max_depth': 5, 'learning_rate': 0.03, 'colsample_bytree': 0.8}",-45.835326692418235,-43.974771174520555,-53.369910920792904,-47.72666959591057,4.062022993283003,16
15.622035106023153,1.9294399837061347,0.10197329521179199,0.004622014784102989,1.0,0.0,0.1,127,10,5,0.02,0.6,"{'subsample': 1.0, 'reg_lambda': 0.0, 'reg_alpha': 0.1, 'num_leaves': 127, 'min_child_samples': 10, 'max_depth': 5, 'learning_rate': 0.02, 'colsample_bytree': 0.6}",-46.44479546952742,-43.98495948243197,-53.173838452081675,-47.867864468013686,3.8839600247305324,19
22.654054403305054,0.1368682472595175,0.16411606470743814,0.024970813767202924,0.8,0.1,0.1,31,20,7,0.01,0.6,"{'subsample': 0.8, 'reg_lambda': 0.1, 'reg_alpha': 0.1, 'num_leaves': 31, 'min_child_samples': 20, 'max_depth': 7, 'learning_rate': 0.01, 'colsample_bytree': 0.6}",-46.92847461970129,-44.34780805145988,-53.533044155017365,-48.26977560872618,3.867941470333915,26
126.14819709459941,7.278414471473628,0.36846764882405597,0.03504744215191325,1.0,0.5,0.5,255,20,-1,0.01,1.0,"{'subsample': 1.0, 'reg_lambda': 0.5, 'reg_alpha': 0.5, 'num_leaves': 255, 'min_child_samples': 20, 'max_depth': -1, 'learning_rate': 0.01, 'colsample_bytree': 1.0}",-45.148319300697786,-43.19434009754004,-52.30785468609054,-46.88350469477612,3.917668379942148,9
27.87614933649699,2.979000205639196,0.19469436009724936,0.01538606895961875,0.6,0.5,0.0,255,20,7,0.03,1.0,"{'subsample': 0.6, 'reg_lambda': 0.5, 'reg_alpha': 0.0, 'num_leaves': 255, 'min_child_samples': 20, 'max_depth': 7, 'learning_rate': 0.03, 'colsample_bytree': 1.0}",-44.835776866002796,-43.272116726094,-52.647384603828186,-46.918426065308324,4.100974088379866,11
13.6449081103007,1.3498107865687372,0.11184581120808919,0.0077973094428260194,0.8,0.0,0.1,63,20,5,0.02,0.8,"{'subsample': 0.8, 'reg_lambda': 0.0, 'reg_alpha': 0.1, 'num_leaves': 63, 'min_child_samples': 20, 'max_depth': 5, 'learning_rate': 0.02, 'colsample_bytree': 0.8}",-46.537347804659845,-44.29937357859508,-53.69316956430952,-48.176630315854815,4.00635213287919,25
35.652095317840576,1.8355123776971434,0.15857513745625815,0.0033483461694729217,0.6,0.1,0.0,127,20,9,0.02,0.6,"{'subsample': 0.6, 'reg_lambda': 0.1, 'reg_alpha': 0.0, 'num_leaves': 127, 'min_child_samples': 20, 'max_depth': 9, 'learning_rate': 0.02, 'colsample_bytree': 0.6}",-44.66738839429859,-42.4786452119489,-51.717195289130366,-46.28774296512595,3.9418154517555535,3
16.196499427159626,0.8250387309821623,0.12220501899719238,0.006063628931254388,0.8,0.0,0.5,31,20,-1,0.01,0.8,"{'subsample': 0.8, 'reg_lambda': 0.0, 'reg_alpha': 0.5, 'num_leaves': 31, 'min_child_samples': 20, 'max_depth': -1, 'learning_rate': 0.01, 'colsample_bytree': 0.8}",-46.24746667432342,-44.02539957288192,-53.025649710283574,-47.76617198582964,3.8280521592882812,18
24.52501328786214,0.7574501934074576,0.1520223617553711,0.0006340967310192067,1.0,0.0,0.0,255,20,9,0.05,0.6,"{'subsample': 1.0, 'reg_lambda': 0.0, 'reg_alpha': 0.0, 'num_leaves': 255, 'min_child_samples': 20, 'max_depth': 9, 'learning_rate': 0.05, 'colsample_bytree': 0.6}",-44.606762441850286,-42.171334589338926,-51.72154741866397,-46.16654814995106,4.051858821392779,1
17.995725234349568,0.949898535144865,0.13459626833597818,0.0075539156639069845,0.6,0.1,0.5,63,50,9,0.01,0.8,"{'subsample': 0.6, 'reg_lambda': 0.1, 'reg_alpha': 0.5, 'num_leaves': 63, 'min_child_samples': 50, 'max_depth': 9, 'learning_rate': 0.01, 'colsample_bytree': 0.8}",-45.93687365265683,-43.78915372364569,-53.450496215022234,-47.725507863774915,4.142044095999462,15
37.81107807159424,0.9833872081482773,0.17853347460428873,0.008337767719846368,1.0,0.1,0.5,255,20,9,0.01,0.6,"{'subsample': 1.0, 'reg_lambda': 0.1, 'reg_alpha': 0.5, 'num_leaves': 255, 'min_child_samples': 20, 'max_depth': 9, 'learning_rate': 0.01, 'colsample_bytree': 0.6}",-45.40177859106945,-43.042646807093256,-52.263507804698925,-46.902644400953875,3.9111394775053623,10
13.538906256357828,0.4660795941702924,0.11030832926432292,0.026705338565323835,0.8,0.0,0.5,31,10,7,0.05,0.6,"{'subsample': 0.8, 'reg_lambda': 0.0, 'reg_alpha': 0.5, 'num_leaves': 31, 'min_child_samples': 10, 'max_depth': 7, 'learning_rate': 0.05, 'colsample_bytree': 0.6}",-44.65470652037775,-42.793442849613726,-51.956988747409085,-46.46837937246685,3.954718722914379,4
15.467258532842001,1.9501558729762452,0.12611985206604004,0.005292622900161721,0.8,0.0,0.1,63,20,7,0.03,0.6,"{'subsample': 0.8, 'reg_lambda': 0.0, 'reg_alpha': 0.1, 'num_leaves': 63, 'min_child_samples': 20, 'max_depth': 7, 'learning_rate': 0.03, 'colsample_bytree': 0.6}",-44.73712865466289,-42.98515847918445,-51.81285907115521,-46.511715401667516,3.816101241437704,5
